任务ID,处理成功,结果成功,时间点,评论,源结果路径
Eparse_02,True,False,2025-05-06T22:07:27,❌ 测试未通过。字符级Accuracy=0.0322 < 0.8,/mnt/Data/coding_run/task19/Eparse_02/a3af3dea-8887-465b-aa9b-68a287801a2f/Eparse/output_result
SuperResolution_02,True,True,2025-05-06T22:07:29,"PSNR: 26.950 (Threshold: 18.0), ESI: 1.660 (Threshold: 1.2), SSIM: 0.889 (Threshold: 0.8), Success: True",/mnt/Data/coding_run/task19/SuperResolution_02/2022c5ae-e97d-428b-aabd-865d3f7df829/SuperResolution/output_result
InvisibleWatermark_02,True,False,2025-05-06T22:07:30,❌ 水印提取失败，未匹配！ 解码水印: Decoded watermark: text Ground truth: text,/mnt/Data/coding_run/task19/InvisibleWatermark_02/b856ae21-4f57-41b3-936d-4df0eefb37d0/InvisibleWatermark/output_result
Stegano_03,True,True,2025-05-06T22:07:31.972405,✅ 提取结果: 'hidden_text' | GT: 'hidden_text' 📐 PSNR: 99.81 dB 🎯 水印检测_match: 100% 🎯 PSNR ≥ 40.0: ✅ 满足,/mnt/Data/coding_run/task19/Stegano_03/bdc7335a-eeae-41a3-bff0-9fe32555caf1/Stegano/output_result
Eparse_01,True,False,2025-05-06T22:07:33,❌ 测试未通过。文本相似度=0.0323 < 0.8,/mnt/Data/coding_run/task19/Eparse_01/3963185c-ef36-45d0-9cbf-79683f9b2ef9/Eparse/output_result
AnimeGANv3_01,True,True,2025-05-06T22:07:41,LPIPS=0.3687 (>= 0.3 → OK),/mnt/Data/coding_run/task19/AnimeGANv3_01/8adb221e-e1fd-4277-b6b7-f6495e6d6ed9/AnimeGANv3/output_result
PyPDF2_02,True,False,2025-05-06T22:07:42.571683,❌ 有 18 页未达到准确率要求 ❌ output_02.pdf 内容准确率仅 0.41% ❌ output_03.pdf 内容准确率仅 13.99% ❌ output_04.pdf 内容准确率仅 4.85% ❌ output_05.pdf 内容准确率仅 4.32% ❌ output_06.pdf 内容准确率仅 5.27% ❌ output_07.pdf 内容准确率仅 9.05% ❌ output_08.pdf 内容准确率仅 8.60% ❌ output_09.pdf 内容准确率仅 6.47% ❌ output_10.pdf 内容准确率仅 7.49% ❌ output_11.pdf 内容准确率仅 10.41% ❌ output_12.pdf 内容准确率仅 2.86% ❌ output_13.pdf 内容准确率仅 10.34% ❌ output_14.pdf 内容准确率仅 3.96% ❌ output_15.pdf 内容准确率仅 31.70% ❌ output_16.pdf 内容准确率仅 5.47% ❌ output_17.pdf 内容准确率仅 9.39% ❌ output_18.pdf 内容准确率仅 29.26% ❌ output_19.pdf 内容准确率仅 66.67%,/mnt/Data/coding_run/task19/PyPDF2_02/08421dc4-291a-4529-9580-f8584480a12c/PyPDF2/output_result
PDFPlumber_02,True,False,2025-05-06T22:07:44.293636,整体表格行列内容匹配率：0.00% ❌ 测试未通过！,/mnt/Data/coding_run/task19/PDFPlumber_02/dcd057d4-87fd-4f94-bfdc-0ec07c35c512/PDFPlumber/output_result
TransparentBackground_02,True,True,2025-05-06T22:07:45,"BGC: 0.524 (Threshold: 0.4), FCF: 11.818 (Threshold: 200), Detected Green Color: [120, 253, 154], Success: True",/mnt/Data/coding_run/task19/TransparentBackground_02/e312688c-0a13-4154-9118-009b9219dd5d/TransparentBackground/output_result
StyleTransfer_03,True,True,2025-05-06T22:07:53,LPIPS=0.8134 (>= 0.5 → OK); HI=0.7430 (>= 0.7 → OK),/mnt/Data/coding_run/task19/StyleTransfer_03/3537da8f-ea36-496f-b80a-25ea22575f03/StyleTransfer/output_result
NeuroKit_01,False,False,2025-05-06T22:07:57.066422,错误：找不到HRV结果文件。错误：找不到处理后的ECG数据。错误：找不到HRV统计摘要。,/mnt/Data/coding_run/task19/NeuroKit_01/d1edf6ff-4842-48df-9a38-2dc6099be3f0/NeuroKit/output_result
TransparentBackground_03,True,False,2025-05-06T22:07:58,"BBI: 5.415 (Threshold: 20), FSP: 0.132 (Threshold: 0.1), Success: False. Possible issues: BBI too high (background not blurred enough) or FSP too high (foreground clarity degraded).",/mnt/Data/coding_run/task19/TransparentBackground_03/9d42e87f-e0a6-42fc-8bc6-943190eb9451/TransparentBackground/output_result
Trafilatura_01,True,True,2025-05-06T22:07:59,精确度 1.0000 满足 92%,/mnt/Data/coding_run/task19/Trafilatura_01/0a5c465e-dd09-4595-a72a-282a1bfad759/Trafilatura/output_result
Faker_01,True,True,2025-05-06T22:08:01.055818,所有用户数据验证通过！,/mnt/Data/coding_run/task19/Faker_01/ca288fdd-a2eb-4b71-b9a3-6839e5cf69c9/Faker/output_result
SuperResolution_01,True,True,2025-05-06T22:08:02,"PSNR: 56.52 dB (阈值: 18.0), SSIM: 1.0000 (阈值: 0.8, win_size=283)",/mnt/Data/coding_run/task19/SuperResolution_01/da615645-4d21-4bea-bda4-bae6c0c28aee/SuperResolution/output_result
AnimeGANv3_02,True,True,2025-05-06T22:08:13,LPIPS=0.3654 (>= 0.3 → OK),/mnt/Data/coding_run/task19/AnimeGANv3_02/50ccab6f-09a2-45d4-b6ee-43df13599516/AnimeGANv3/output_result
InvisibleWatermark_03,False,False,2025-05-06T22:08:21.234503,错误：水印图像文件 '/mnt/Code/Tasks/Code-Repo-Agent/dataset/eval/GitTaskBench/eval_automation/output/InvisibleWatermark_03/output.png' 不存在或为空。,/mnt/Data/coding_run/task19/InvisibleWatermark_03/52b8b67d-9ea7-4c45-8105-f60e9b54f672/InvisibleWatermark/output_result
Faker_03,True,True,2025-05-06T22:08:24,✅ 假文本文件验证通过，相似度：0.7258 超过阈值！,/mnt/Data/coding_run/task19/Faker_03/488e4f84-407e-4566-8a57-a0dfbb5432d2/Faker/output_result
PDFPlumber_01,True,True,2025-05-06T22:08:26,,/mnt/Data/coding_run/task19/PDFPlumber_01/0b63597f-c34d-4f17-9f7d-2230eb2d0cc4/PDFPlumber/output_result
StyleTransfer_01,True,False,2025-05-06T22:08:32,LPIPS=0.7524 (>= 0.5 → OK); HI=0.6753 (>= 0.7 → FAIL),/mnt/Data/coding_run/task19/StyleTransfer_01/5ebbe8dd-1ea4-4f14-87a9-2a16a1e93657/StyleTransfer/output_result
Eparse_03,True,False,2025-05-06T22:08:34.565524,✅ 相似度计算完成: 0.3487,/mnt/Data/coding_run/task19/Eparse_03/1be0f8f8-dd3b-4697-adba-a20516a9c20c/Eparse/output_result
